shapeID,city,date,t,treated,post,treat_post,log_avg_rad,pop_density
VNM-ADM2-001,Hanoi,2022-01-01,1,0,0,0,2.3537,10081.0
VNM-ADM2-001,Hanoi,2022-02-01,2,0,0,0,2.337,10566.0
VNM-ADM2-001,Hanoi,2022-03-01,3,0,0,0,2.3524,12585.0
VNM-ADM2-001,Hanoi,2022-04-01,4,0,0,0,2.3609,12237.0
VNM-ADM2-001,Hanoi,2022-05-01,5,0,0,0,2.4168,13436.0
VNM-ADM2-001,Hanoi,2022-06-01,6,0,0,0,2.3174,10234.0
VNM-ADM2-001,Hanoi,2022-07-01,7,0,0,0,2.3731,5382.0
VNM-ADM2-001,Hanoi,2022-08-01,8,0,0,0,2.3445,2138.0
VNM-ADM2-001,Hanoi,2022-09-01,9,0,0,0,2.3467,6666.0
VNM-ADM2-001,Hanoi,2022-10-01,10,0,0,0,2.3751,10192.0
VNM-ADM2-001,Hanoi,2022-11-01,11,0,0,0,2.3076,9797.0
VNM-ADM2-001,Hanoi,2022-12-01,12,0,0,0,2.348,9870.0
VNM-ADM2-001,Hanoi,2023-01-01,13,0,0,0,2.3305,5528.0
VNM-ADM2-001,Hanoi,2023-02-01,14,0,0,0,2.3453,8367.0
VNM-ADM2-001,Hanoi,2023-03-01,15,0,0,0,2.4405,5469.0
VNM-ADM2-001,Hanoi,2023-04-01,16,0,0,0,2.3823,12556.0
VNM-ADM2-001,Hanoi,2023-05-01,17,0,0,0,2.4324,7681.0
VNM-ADM2-001,Hanoi,2023-06-01,18,0,0,0,2.4399,11589.0
VNM-ADM2-001,Hanoi,2023-07-01,19,0,0,0,2.3662,8037.0
VNM-ADM2-001,Hanoi,2023-08-01,20,0,0,0,2.4209,11140.0
VNM-ADM2-001,Hanoi,2023-09-01,21,0,0,0,2.4295,9519.0
VNM-ADM2-001,Hanoi,2023-10-01,22,0,0,0,2.389,10128.0
VNM-ADM2-001,Hanoi,2023-11-01,23,0,0,0,2.4114,10481.0
VNM-ADM2-001,Hanoi,2023-12-01,24,0,0,0,2.3321,6600.0
VNM-ADM2-001,Hanoi,2024-01-01,25,0,1,0,2.4359,9285.0
VNM-ADM2-001,Hanoi,2024-02-01,26,0,1,0,2.3904,11395.0
VNM-ADM2-001,Hanoi,2024-03-01,27,0,1,0,2.4237,9330.0
VNM-ADM2-001,Hanoi,2024-04-01,28,0,1,0,2.3871,10879.0
VNM-ADM2-001,Hanoi,2024-05-01,29,0,1,0,2.4746,12047.0
VNM-ADM2-001,Hanoi,2024-06-01,30,0,1,0,2.5101,9622.0
VNM-ADM2-001,Hanoi,2024-07-01,31,0,1,0,2.4126,7626.0
VNM-ADM2-001,Hanoi,2024-08-01,32,0,1,0,2.4141,12575.0
VNM-ADM2-001,Hanoi,2024-09-01,33,0,1,0,2.5023,12178.0
VNM-ADM2-001,Hanoi,2024-10-01,34,0,1,0,2.4663,6925.0
VNM-ADM2-001,Hanoi,2024-11-01,35,0,1,0,2.4549,9288.0
VNM-ADM2-001,Hanoi,2024-12-01,36,0,1,0,2.5277,10269.0
VNM-ADM2-002,Hanoi,2022-01-01,1,1,0,0,2.4784,11105.0
VNM-ADM2-002,Hanoi,2022-02-01,2,1,0,0,2.4155,12465.0
VNM-ADM2-002,Hanoi,2022-03-01,3,1,0,0,2.5612,6904.0
VNM-ADM2-002,Hanoi,2022-04-01,4,1,0,0,2.5395,12127.0
VNM-ADM2-002,Hanoi,2022-05-01,5,1,0,0,2.5376,11631.0
VNM-ADM2-002,Hanoi,2022-06-01,6,1,0,0,2.5348,10514.0
VNM-ADM2-002,Hanoi,2022-07-01,7,1,0,0,2.5404,9307.0
VNM-ADM2-002,Hanoi,2022-08-01,8,1,0,0,2.4691,10093.0
VNM-ADM2-002,Hanoi,2022-09-01,9,1,0,0,2.4168,7871.0
VNM-ADM2-002,Hanoi,2022-10-01,10,1,0,0,2.4974,11305.0
VNM-ADM2-002,Hanoi,2022-11-01,11,1,0,0,2.5505,7342.0
VNM-ADM2-002,Hanoi,2022-12-01,12,1,0,0,2.5181,14847.0
VNM-ADM2-002,Hanoi,2023-01-01,13,1,0,0,2.5293,4125.0
VNM-ADM2-002,Hanoi,2023-02-01,14,1,0,0,2.522,10828.0
VNM-ADM2-002,Hanoi,2023-03-01,15,1,0,0,2.5713,12384.0
VNM-ADM2-002,Hanoi,2023-04-01,16,1,0,0,2.5148,6978.0
VNM-ADM2-002,Hanoi,2023-05-01,17,1,0,0,2.555,9752.0
VNM-ADM2-002,Hanoi,2023-06-01,18,1,0,0,2.5289,13537.0
VNM-ADM2-002,Hanoi,2023-07-01,19,1,0,0,2.4832,12022.0
VNM-ADM2-002,Hanoi,2023-08-01,20,1,0,0,2.5322,9810.0
VNM-ADM2-002,Hanoi,2023-09-01,21,1,0,0,2.5409,9360.0
VNM-ADM2-002,Hanoi,2023-10-01,22,1,0,0,2.4998,12817.0
VNM-ADM2-002,Hanoi,2023-11-01,23,1,0,0,2.5097,12209.0
VNM-ADM2-002,Hanoi,2023-12-01,24,1,0,0,2.5757,13387.0
VNM-ADM2-002,Hanoi,2024-01-01,25,1,1,1,2.5926,7579.0
VNM-ADM2-002,Hanoi,2024-02-01,26,1,1,1,2.5895,9382.0
VNM-ADM2-002,Hanoi,2024-03-01,27,1,1,1,2.6491,11812.0
VNM-ADM2-002,Hanoi,2024-04-01,28,1,1,1,2.6335,8859.0
VNM-ADM2-002,Hanoi,2024-05-01,29,1,1,1,2.5951,8096.0
VNM-ADM2-002,Hanoi,2024-06-01,30,1,1,1,2.6849,14932.0
VNM-ADM2-002,Hanoi,2024-07-01,31,1,1,1,2.7338,9792.0
VNM-ADM2-002,Hanoi,2024-08-01,32,1,1,1,2.6599,12485.0
VNM-ADM2-002,Hanoi,2024-09-01,33,1,1,1,2.6292,9084.0
VNM-ADM2-002,Hanoi,2024-10-01,34,1,1,1,2.5993,10216.0
VNM-ADM2-002,Hanoi,2024-11-01,35,1,1,1,2.6614,11285.0
VNM-ADM2-002,Hanoi,2024-12-01,36,1,1,1,2.6519,8824.0
VNM-ADM2-003,Hanoi,2022-01-01,1,0,0,0,2.7797,5868.0
VNM-ADM2-003,Hanoi,2022-02-01,2,0,0,0,2.8255,9684.0
VNM-ADM2-003,Hanoi,2022-03-01,3,0,0,0,2.8008,7846.0
VNM-ADM2-003,Hanoi,2022-04-01,4,0,0,0,2.7771,3333.0
VNM-ADM2-003,Hanoi,2022-05-01,5,0,0,0,2.7835,11440.0
VNM-ADM2-003,Hanoi,2022-06-01,6,0,0,0,2.7501,4820.0
VNM-ADM2-003,Hanoi,2022-07-01,7,0,0,0,2.7992,11869.0
VNM-ADM2-003,Hanoi,2022-08-01,8,0,0,0,2.8016,11872.0
